Country,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
China,Total excluding LUCF,CH4,MTCO2e,1238.63,1239.13,1242.15,1237.52,1206.21,1178.02,1151.1,1106.19,1063.83,1018.91,973.58,921.56,883.36,837.67,829.7,815.91,819.89,824.17,829.61,825.69,813.83,791.73,823.86,798.45,773.65,757.56,751.66,743.07,730.34
Russia,Total excluding LUCF,CH4,MTCO2e,849.57,850.17,852.55,835.56,830.22,825.64,824.27,814.67,801.36,774.47,793.09,791.13,780.69,765.48,752.8,719.38,669.09,642.04,617.06,598.7,597.72,610.38,622.22,639.73,666.92,724.72,780.89,863.52,929.97
India,Total excluding LUCF,CH4,MTCO2e,666.51,661.61,657.69,652.0,653.67,653.53,650.41,653.59,650.14,644.14,650.45,642.98,630.64,621.23,606.52,598.51,589.39,594.7,589.05,584.49,577.29,567.46,560.74,551.49,543.9,539.0,533.31,528.53,522.74
United States,Total excluding LUCF,CH4,MTCO2e,622.59,614.5,609.2,617.17,620.81,618.41,618.15,628.09,649.94,649.37,659.1,645.85,653.14,652.36,654.67,659.47,659.77,672.4,678.65,688.34,702.98,722.83,738.6,745.84,758.52,751.48,768.67,769.82,766.55
Brazil,Total excluding LUCF,CH4,MTCO2e,416.28,421.66,424.8,422.28,416.35,411.88,414.53,412.83,413.33,396.98,391.4,393.31,392.85,397.32,395.48,377.7,361.63,343.44,325.47,322.94,318.14,311.06,304.62,311.55,311.16,305.47,304.56,300.17,285.24
European Union (27),Total excluding LUCF,CH4,MTCO2e,396.8,400.47,403.14,408.01,407.54,412.82,418.96,421.62,431.93,435.51,443.84,448.33,454.4,463.21,472.73,486.1,493.01,505.2,511.5,517.19,523.22,536.94,545.45,549.68,555.69,567.36,579.84,597.94,617.54
Indonesia,Total excluding LUCF,CH4,MTCO2e,287.5,283.94,277.45,269.47,264.09,255.02,251.46,255.27,261.61,265.87,268.72,274.17,279.11,285.56,293.68,298.19,306.86,312.8,321.48,319.4,319.96,318.57,321.11,320.58,317.86,314.13,311.31,301.81,298.41
Pakistan,Total excluding LUCF,CH4,MTCO2e,151.02,147.54,143.28,139.81,136.69,132.76,127.77,125.32,119.25,119.81,116.86,112.11,109.3,102.45,99.59,97.04,93.78,91.1,89.83,88.41,85.89,83.56,81.42,77.77,76.11,74.85,72.64,71.67,70.35
Iran,Total excluding LUCF,CH4,MTCO2e,149.69,146.03,143.25,139.18,139.34,145.34,146.58,147.49,149.42,143.21,136.92,133.54,127.54,121.47,114.99,108.58,102.3,96.6,90.71,88.12,85.24,81.22,77.82,73.81,70.08,68.22,66.46,63.29,62.24
Mexico,Total excluding LUCF,CH4,MTCO2e,144.61,143.31,141.71,140.46,131.15,122.23,122.78,129.5,128.72,132.72,133.99,119.14,112.57,108.6,106.61,107.69,104.99,103.99,105.23,102.95,107.07,104.94,100.68,96.25,95.27,94.68,86.84,87.4,86.8
Australia,Total excluding LUCF,CH4,MTCO2e,139.07,139.81,118.28,133.43,135.19,127.15,166.73,168.82,119.32,131.46,128.53,144.83,147.87,128.8,148.01,127.11,167.17,175.69,167.63,157.13,146.13,144.21,142.11,149.19,150.66,151.83,155.17,155.75,156.04
